ID,District,ToiletCoverage,OpenDefecation,Literacy,IncomeIndex,UrbanRatio,IMR,ADDCases
149,Mayiladuthurai,73,27,90,97,78,12.68,340
150,Cuddalore,97,0,76,53,85,3.71,199
151,Virudhunagar,75,24,86,73,79,11.7,272
152,Cuddalore,87,8,73,69,89,8.42,245
153,Nagapattinam,85,10,93,65,69,8.28,220
154,Erode,74,17,75,100,84,12.36,410
155,Tiruvallur,88,10,98,84,86,6.2,326
156,Tirupathur,88,12,94,40,51,10.07,350
157,Madurai,74,21,78,64,54,8.23,362
158,Madurai,71,17,83,83,19,12.4,428
159,Namakkal,76,19,70,66,37,7.95,322
160,Tenkasi,79,13,83,55,53,6.87,342
161,Madurai,71,19,73,83,23,10.31,316
162,Nagapattinam,80,18,95,94,55,11.23,331
163,Madurai,85,8,66,81,31,7.16,294
164,Tiruppur,94,0,82,67,71,4.96,288
165,Mayiladuthurai,83,5,83,59,83,10.76,369
166,Erode,87,0,75,40,31,7.25,289
167,Viluppuram,72,26,91,92,74,12.14,312
168,Erode,74,14,79,98,71,9.71,433
169,Dindigul,99,0,70,91,35,3.96,182
170,Tiruvarur,90,0,73,77,32,5.06,232
171,Mayiladuthurai,100,0,77,92,86,6.26,215
172,Chengalpattu,73,22,78,61,100,9.21,398
173,Tiruvallur,99,0,77,99,52,3.32,206
174,Chengalpattu,91,0,68,73,46,5.66,329
175,Madurai,96,0,70,42,55,8.96,209
176,Viluppuram,74,20,91,71,61,12.95,391
177,Ramanathapuram,85,0,82,78,74,9.35,222
178,Tiruvarur,92,4,80,65,79,8.72,323
179,Erode,80,9,85,87,82,12.26,324
180,Karur,76,23,70,74,78,13.67,307
181,Ariyalur,71,16,86,46,50,12.97,399
182,Kancheepuram,99,0,84,71,68,8.3,129
183,Thanjavur,74,18,91,64,65,11.77,357
184,Thoothukudi,81,17,89,95,36,10.61,286
185,Tiruvannamalai,76,23,79,52,47,7.64,266
186,Thanjavur,81,6,70,56,55,11.54,365
187,Ranipet,82,17,88,90,32,11.0,261
188,Tiruvarur,87,0,78,40,51,10.23,229
189,Ariyalur,73,23,80,94,52,12.72,403
190,Sivaganga,92,0,86,58,47,9.44,308
191,Ramanathapuram,73,15,98,69,25,12.74,292
192,Viluppuram,99,0,97,81,55,5.76,170
193,Dharmapuri,72,25,90,59,26,8.04,328
194,Virudhunagar,91,0,78,100,78,9.05,225
195,Karur,79,18,73,48,80,9.62,293
196,Nilgiris,82,16,76,96,37,6.73,306
197,Viluppuram,90,0,90,80,50,5.95,273
198,Krishnagiri,92,0,66,100,46,10.36,188
199,Karur,91,6,90,43,74,5.91,219
200,Krishnagiri,82,15,96,75,47,8.72,276
201,Namakkal,72,13,66,99,75,9.02,403
202,Tiruchirappalli,74,25,66,60,93,8.33,401
203,Erode,70,17,95,77,65,11.86,305
204,Madurai,86,7,95,64,60,6.52,279
205,Tiruvannamalai,96,0,83,60,39,5.32,210
206,Madurai,79,9,90,46,46,9.82,251
207,Tenkasi,86,4,97,68,84,6.61,263
208,Kancheepuram,73,18,68,61,95,13.31,315
209,Virudhunagar,95,2,68,88,68,6.67,179
210,Tiruvannamalai,91,1,68,57,94,8.58,298
211,Tiruvannamalai,88,9,95,62,47,4.71,268
212,Namakkal,80,14,87,88,77,7.63,299
213,Kanniyakumari,89,3,69,85,77,10.06,291
214,Mayiladuthurai,99,0,98,50,40,5.48,209
215,Cuddalore,71,25,90,47,26,9.96,319
216,Theni,87,8,87,70,58,9.22,343
217,Coimbatore,78,17,67,66,41,8.27,412
218,Nagapattinam,90,10,97,64,32,9.81,299
219,Sivaganga,99,0,74,63,72,8.9,140
220,Theni,77,8,92,76,59,9.58,398
221,Madurai,74,17,65,44,74,13.29,379
222,Ariyalur,74,22,71,89,27,13.23,367
223,Nagapattinam,99,0,79,63,35,8.03,207
224,Tiruppur,85,11,70,82,50,11.07,283
225,Mayiladuthurai,98,0,78,51,67,4.54,276
226,Viluppuram,84,13,72,83,97,9.26,294
227,Cuddalore,73,27,82,69,59,10.82,425
228,Cuddalore,98,0,79,96,73,3.93,178
229,Chennai,94,3,84,98,20,8.76,280
230,Tiruvannamalai,78,14,66,85,67,11.19,268
231,Tiruvannamalai,92,0,71,70,82,10.17,215
232,Salem,100,0,66,90,16,5.71,190
233,Chengalpattu,77,10,73,67,72,10.69,368
234,Thanjavur,91,0,71,72,95,7.76,195
235,Krishnagiri,77,10,90,45,96,7.05,399
236,Ranipet,92,0,85,68,74,6.47,174
237,Tiruppur,75,21,84,57,74,13.25,294
238,Erode,77,19,70,74,15,10.65,280
239,Sivaganga,90,2,88,61,46,9.87,271
240,Vellore,91,5,82,81,70,6.76,201
241,Kancheepuram,81,13,81,46,27,8.82,385
242,Tenkasi,78,8,73,91,15,8.63,290
243,Ranipet,91,1,81,43,21,5.0,178
244,Theni,94,3,80,57,68,7.18,294
245,Coimbatore,97,0,98,80,53,5.57,280
246,Nagapattinam,84,13,72,43,61,8.45,280
247,Dharmapuri,99,0,72,78,40,4.72,162
248,Cuddalore,87,0,82,82,15,5.44,245
249,Tiruchirappalli,77,15,83,40,81,9.87,272
250,Tirunelveli,71,25,67,70,63,11.95,427
251,Ramanathapuram,98,0,97,60,15,4.32,264
252,Virudhunagar,98,0,83,91,23,7.57,260
253,Namakkal,90,0,77,49,68,5.05,242
254,Dindigul,99,0,91,50,73,3.98,136
255,Ranipet,73,26,69,40,83,11.14,330
256,Chengalpattu,80,11,67,49,40,11.48,353
257,Tiruvallur,81,16,98,44,64,9.62,254
258,Madurai,94,2,83,48,35,4.66,310
259,Pudukkottai,99,0,94,97,81,6.12,181
260,Chennai,98,0,98,43,80,7.41,229
261,Mayiladuthurai,96,3,74,87,25,5.85,224
262,Sivaganga,94,0,84,64,41,5.48,192
263,Viluppuram,75,15,89,63,83,9.65,369
264,Erode,90,0,74,75,60,8.19,311
265,Cuddalore,79,11,82,50,84,9.54,383
266,Kancheepuram,77,9,89,99,81,8.36,342
267,Namakkal,93,1,90,73,91,5.77,316
268,Karur,82,15,73,52,35,10.28,242
269,Tiruchirappalli,95,2,94,70,15,8.27,182
270,Salem,84,5,71,61,41,8.93,366
271,Virudhunagar,70,28,91,90,50,12.4,400
272,Thoothukudi,82,7,93,78,38,10.36,327
273,Namakkal,96,1,70,78,58,8.06,247
274,Coimbatore,95,0,89,81,54,7.36,226
275,Ranipet,94,0,79,71,92,7.97,298
276,Salem,98,0,82,99,46,3.33,174
277,Kallakurichi,85,11,93,87,61,10.55,362
278,Tiruppur,84,7,85,72,54,5.99,353
279,Kallakurichi,94,0,65,64,16,9.53,200
280,Madurai,99,0,85,50,47,3.77,236
281,Tiruvannamalai,76,12,90,59,70,12.18,285
282,Pudukkottai,77,20,81,62,63,7.38,334
283,Tenkasi,94,6,72,63,32,5.86,194
284,Tiruvarur,95,0,95,73,91,5.48,306
285,Tiruvallur,78,10,97,72,34,8.51,403
286,Madurai,90,0,72,66,87,7.91,324
287,Theni,86,10,75,99,84,9.49,260
288,Tirunelveli,85,8,92,48,98,9.2,223
289,Tiruchirappalli,71,25,95,75,53,8.79,335
290,Tenkasi,92,0,69,86,64,5.85,259
291,Coimbatore,98,0,71,48,67,5.36,256
292,Ranipet,97,0,85,96,86,4.32,225
293,Coimbatore,86,2,87,55,76,11.1,264
294,Ariyalur,97,0,77,45,48,6.77,229
295,Theni,87,0,82,62,29,8.16,295
296,Dindigul,90,1,79,78,68,7.09,277
297,Namakkal,74,12,85,87,78,12.49,319
298,Viluppuram,90,2,94,43,62,6.42,326
299,Dindigul,74,24,94,46,55,11.3,342
300,Madurai,98,0,90,86,80,7.11,259
301,Erode,92,0,90,94,90,9.64,305
302,Chennai,74,18,87,79,44,11.87,395
303,Ariyalur,99,1,85,79,88,6.71,231
304,Theni,76,22,73,48,68,7.93,309
305,Coimbatore,86,8,81,42,83,8.97,273
306,Chengalpattu,100,0,66,87,58,6.11,184
307,Ariyalur,88,1,74,53,44,8.06,323
308,Virudhunagar,87,6,93,92,41,9.26,263
309,Tenkasi,89,0,72,89,41,8.92,212
310,Karur,75,20,95,89,75,10.73,288
311,Cuddalore,86,3,68,46,74,11.19,358
312,Kallakurichi,88,0,85,89,27,5.85,316
313,Tiruppur,74,19,73,66,36,10.61,425
314,Sivaganga,86,14,89,43,67,10.91,260
315,Tirunelveli,75,15,88,65,45,10.26,335
316,Perambalur,71,23,66,72,65,12.41,351
317,Ariyalur,71,17,86,51,42,9.38,365
318,Ariyalur,93,0,70,54,98,9.94,266
319,Thoothukudi,79,8,79,86,88,12.4,402
320,Ariyalur,83,3,77,70,66,9.77,248
321,Thanjavur,74,16,94,95,37,7.77,279
322,Chengalpattu,85,13,87,54,40,8.19,271
323,Tiruchirappalli,75,10,71,82,61,11.01,274
324,Erode,88,9,90,71,17,6.0,333
325,Dharmapuri,100,0,82,51,93,6.22,250
326,Tirupathur,93,0,77,69,93,9.17,263
327,Coimbatore,75,23,73,46,52,10.5,327
328,Coimbatore,81,19,68,45,16,12.12,267
329,Tirupathur,100,0,84,100,84,6.46,175
330,Cuddalore,74,11,84,92,21,11.89,281
331,Tiruchirappalli,85,4,94,69,76,10.71,210
332,Sivaganga,72,20,90,81,92,11.52,330
333,Madurai,81,12,88,58,87,6.21,252
334,Madurai,70,27,96,43,51,9.09,454
335,Nagapattinam,86,11,91,93,64,6.98,206
336,Cuddalore,99,0,67,77,83,6.95,174
337,Thoothukudi,87,0,94,59,42,9.41,254
338,Tenkasi,97,0,89,59,60,3.32,219
339,Salem,91,9,68,84,53,10.39,292
340,Nagapattinam,88,8,80,94,37,6.86,333
341,Dharmapuri,97,0,68,93,39,3.7,202
342,Vellore,86,7,73,65,95,5.96,239
343,Tiruppur,96,1,68,96,81,8.66,294
344,Vellore,80,9,84,54,82,10.11,354
345,Kanniyakumari,81,16,88,87,100,10.41,341
346,Tiruvannamalai,90,0,84,58,56,9.37,192
347,Kancheepuram,85,11,83,44,44,6.32,259
348,Viluppuram,82,11,97,68,28,8.21,252
349,Dharmapuri,74,26,65,45,17,8.96,369
350,Sivaganga,83,15,88,43,35,6.36,306
351,Madurai,89,1,71,82,58,5.44,228
352,Nilgiris,90,0,72,44,55,10.51,193
353,Karur,100,0,77,47,75,4.87,227
354,Theni,88,9,96,89,51,9.1,346
355,Madurai,94,6,96,41,99,5.81,164
356,Cuddalore,91,0,86,67,77,10.1,317
357,Tiruchirappalli,75,11,94,53,66,9.62,328
358,Chennai,76,21,73,40,23,10.23,268
359,Kanniyakumari,71,29,86,90,30,12.64,443
360,Namakkal,96,1,76,65,99,5.55,298
361,Perambalur,88,5,80,78,100,10.9,200
362,Ariyalur,78,11,86,84,42,12.63,335
363,Dindigul,95,0,80,52,98,8.37,175
364,Ramanathapuram,95,0,83,88,57,7.13,202
365,Tirupathur,72,15,72,71,24,8.84,381
366,Perambalur,72,20,90,61,88,12.73,353
367,Mayiladuthurai,93,0,72,88,88,4.3,182
368,Tirupathur,79,6,66,42,58,8.0,333
369,Virudhunagar,87,1,71,70,86,6.97,318
370,Ariyalur,97,0,92,80,74,8.68,146
371,Krishnagiri,90,8,77,79,78,10.0,211
372,Cuddalore,81,12,93,77,57,6.44,373
373,Thanjavur,93,1,82,50,49,5.1,249
374,Viluppuram,89,0,74,77,62,10.84,223
375,Theni,74,17,69,68,58,12.98,365
376,Tiruvallur,90,0,85,87,42,4.99,278
377,Thoothukudi,76,24,82,55,24,9.5,361
378,Coimbatore,70,29,92,76,57,12.87,320
379,Salem,80,8,79,51,72,10.75,397
380,Sivaganga,95,0,88,67,34,9.07,183
381,Kancheepuram,96,0,78,48,44,8.21,299
382,Krishnagiri,98,0,77,94,91,5.31,158
383,Kanniyakumari,76,10,81,72,33,10.31,311
384,Tirunelveli,90,9,92,64,55,7.36,295
385,Krishnagiri,76,22,91,79,78,11.36,417
386,Kanniyakumari,83,10,67,82,75,9.56,352
387,Karur,95,0,94,78,18,7.18,279
388,Dindigul,97,0,85,72,52,3.15,145
389,Nilgiris,91,5,93,61,52,8.35,176
390,Krishnagiri,78,11,92,56,98,9.89,307
391,Tiruvallur,79,20,76,94,59,6.97,258
392,Nilgiris,92,0,71,62,83,7.91,182
393,Thanjavur,92,0,65,67,21,9.96,183
394,Cuddalore,72,28,85,75,84,13.21,306
395,Vellore,76,9,89,96,68,12.6,316
396,Nagapattinam,84,7,77,79,82,7.67,274
397,Tiruvarur,80,8,95,80,89,8.83,257
398,Dharmapuri,72,13,72,59,64,11.15,434
399,Karur,72,18,97,66,75,12.79,392
400,Viluppuram,89,0,67,75,97,8.29,343
401,Tirunelveli,88,11,88,94,99,8.88,207
402,Karur,84,2,84,49,74,7.28,303
403,Vellore,80,10,95,52,80,8.7,286
404,Kallakurichi,73,18,77,81,84,13.28,405
405,Coimbatore,83,13,76,51,40,11.32,299
406,Theni,76,12,75,45,75,13.4,293
407,Tenkasi,75,10,83,60,24,11.26,393
408,Chennai,99,0,84,43,81,8.03,284
409,Sivaganga,73,16,69,71,41,13.46,400
410,Nilgiris,82,3,87,69,93,11.2,235
411,Kallakurichi,91,0,81,53,48,6.09,306
412,Tirupathur,88,0,89,83,27,4.82,301
413,Kanniyakumari,90,0,86,79,67,7.25,185
414,Chennai,82,6,67,85,38,7.68,310
415,Tiruvallur,92,3,89,72,73,4.04,177
416,Tiruchirappalli,95,0,92,48,68,3.37,239
417,Chennai,78,9,89,60,83,11.07,265
418,Nilgiris,74,24,74,56,45,9.61,289
419,Perambalur,88,9,74,67,48,6.65,260
420,Tenkasi,81,8,87,99,83,10.72,268
421,Tirupathur,79,10,90,83,31,12.33,267
422,Thanjavur,80,10,95,96,54,12.05,310
423,Tenkasi,72,24,86,56,36,11.6,312
424,Theni,94,0,65,79,16,8.68,156
425,Virudhunagar,87,6,68,41,29,9.2,266
426,Vellore,72,16,84,66,95,12.62,328
427,Karur,73,12,85,68,99,11.08,372
428,Viluppuram,77,9,78,74,36,10.21,409
429,Tenkasi,98,0,91,95,53,5.03,242
430,Sivaganga,100,0,86,72,46,4.23,204
431,Virudhunagar,76,13,66,45,54,11.79,331
432,Virudhunagar,82,8,72,60,42,8.91,270
433,Karur,79,18,70,47,68,7.33,351
434,Nilgiris,91,6,67,79,98,5.86,284
435,Ranipet,78,12,91,72,43,9.26,257
436,Perambalur,96,3,68,44,70,5.05,272
437,Salem,94,0,83,59,15,8.0,189
438,Thanjavur,72,27,96,59,56,12.84,423
439,Kanniyakumari,85,7,82,41,29,9.0,348
440,Cuddalore,94,0,78,92,94,6.17,207
441,Thoothukudi,85,4,78,65,89,7.99,345
442,Tiruvannamalai,86,0,97,66,78,6.83,283
443,Nagapattinam,77,19,75,65,60,10.62,289
444,Ramanathapuram,99,0,92,55,42,3.23,189
445,Karur,100,0,95,66,59,2.8,198
446,Coimbatore,93,0,80,71,68,4.78,235
447,Ramanathapuram,93,2,91,61,33,4.28,223
448,Chengalpattu,90,0,86,91,57,4.51,252
449,Kancheepuram,79,16,65,56,74,12.53,352
450,Tiruppur,76,18,94,59,40,8.72,298
451,Nagapattinam,100,0,84,60,80,6.65,211
452,Nilgiris,96,0,74,42,78,6.97,299
453,Salem,97,0,70,55,79,5.87,223
454,Thoothukudi,100,0,85,48,82,3.85,185
455,Viluppuram,96,2,89,44,35,8.15,152
456,Kancheepuram,85,4,84,51,72,9.93,318
457,Cuddalore,79,8,98,58,81,8.11,365
458,Ranipet,98,0,68,60,28,4.58,163
459,Kanniyakumari,74,19,86,44,53,13.23,425
460,Kanniyakumari,90,7,78,59,27,4.98,309
461,Chennai,73,13,80,83,34,9.56,307
462,Coimbatore,94,0,66,99,22,7.69,242
463,Ranipet,74,23,77,61,80,11.13,350
464,Mayiladuthurai,85,9,91,65,37,7.33,213
465,Mayiladuthurai,87,2,92,60,25,5.13,261
466,Viluppuram,72,27,78,75,74,13.58,435
467,Tiruvallur,97,0,77,75,54,6.94,153
468,Thoothukudi,70,30,80,75,60,8.79,426
469,Dharmapuri,87,10,81,69,55,7.03,324
470,Tiruppur,75,16,65,79,45,9.95,416
471,Dharmapuri,72,16,82,62,55,9.16,357
472,Karur,99,0,88,98,61,3.96,129
473,Dindigul,90,1,85,52,38,8.96,261
474,Chengalpattu,94,3,75,78,33,9.41,210
475,Namakkal,85,12,85,42,15,9.46,280
476,Dindigul,83,7,70,93,52,7.11,371
477,Tiruvallur,100,0,74,99,97,7.1,137
478,Viluppuram,95,0,95,68,96,4.04,306
479,Virudhunagar,89,7,71,42,29,8.34,198
480,Viluppuram,73,26,68,52,65,8.88,333
481,Nilgiris,81,4,94,69,17,8.84,241
482,Tiruvallur,81,5,87,61,48,7.53,328
483,Theni,83,2,71,71,88,7.0,298
484,Tiruvarur,100,0,73,47,51,7.99,207
485,Cuddalore,77,21,93,100,55,11.61,275
486,Ariyalur,98,0,80,45,47,6.56,255
487,Vellore,83,6,77,65,92,8.11,229
488,Tirupathur,89,3,68,74,63,5.89,289
489,Coimbatore,97,0,93,93,49,6.87,277
490,Salem,82,18,86,84,39,8.74,306
491,Thanjavur,70,16,70,68,70,13.64,306
492,Tiruppur,76,16,77,85,48,12.33,412
493,Tiruvannamalai,83,5,86,63,32,9.31,345
494,Tirupathur,88,9,94,94,33,5.38,250
495,Theni,86,14,73,56,74,7.89,247
496,Kanniyakumari,74,12,84,63,87,9.15,301
497,Tirupathur,95,4,70,55,65,6.0,172
498,Dindigul,75,18,81,82,20,10.5,375
499,Kallakurichi,99,0,76,45,33,3.93,236
500,Thoothukudi,72,14,92,42,31,13.55,424
501,Perambalur,85,11,86,64,46,7.39,212
502,Tirunelveli,78,20,80,52,90,10.53,399
503,Kallakurichi,80,17,81,57,69,8.02,355
504,Viluppuram,99,0,80,96,97,6.79,219
505,Tiruppur,78,7,77,90,44,9.33,390
506,Salem,95,0,94,88,100,4.91,264
507,Dindigul,82,13,88,92,64,10.28,324
508,Tiruppur,70,21,80,89,46,12.37,396
509,Coimbatore,85,1,69,85,21,11.8,315
510,Ranipet,70,21,96,93,25,9.0,428
511,Viluppuram,71,29,93,82,76,11.94,353
512,Tirunelveli,70,26,92,81,47,11.7,395
513,Krishnagiri,88,0,76,76,70,5.88,197
514,Virudhunagar,72,21,96,57,91,10.09,420
515,Krishnagiri,76,20,81,62,45,12.9,338
516,Kancheepuram,71,14,87,95,26,8.65,320
517,Tiruvallur,71,16,98,49,43,8.83,299
518,Viluppuram,89,3,82,84,49,7.66,189
519,Vellore,75,18,88,69,73,7.82,278
520,Madurai,95,0,75,46,65,4.6,196
521,Namakkal,84,8,87,45,40,8.63,315
522,Dharmapuri,90,5,74,46,60,7.5,327
523,Cuddalore,73,27,97,54,17,11.07,389
524,Nilgiris,87,11,89,61,46,5.73,276
525,Tiruchirappalli,72,16,86,87,37,8.18,389
526,Tiruchirappalli,95,5,88,98,69,8.21,185
527,Salem,98,0,71,87,30,8.48,226
528,Kancheepuram,87,4,83,85,43,8.64,342
529,Tirunelveli,82,3,94,49,42,7.76,232
530,Tiruvannamalai,79,14,73,62,88,8.19,372
531,Kanniyakumari,74,13,76,98,15,8.86,279
532,Tirupathur,97,0,65,78,70,7.23,277
533,Perambalur,80,5,87,88,41,10.21,297
534,Tiruppur,75,24,75,70,50,8.8,330
535,Tiruvarur,88,11,73,56,54,10.59,301
536,Thanjavur,70,28,82,48,18,10.41,428
537,Tiruvarur,83,11,77,92,87,8.43,313
538,Erode,94,0,79,45,74,5.09,295
539,Mayiladuthurai,70,27,81,92,75,9.57,444
540,Pudukkottai,92,7,88,58,19,4.34,186
541,Tiruvarur,81,14,75,40,22,9.58,351
542,Mayiladuthurai,93,6,66,72,41,7.3,239
543,Sivaganga,73,25,83,82,25,9.28,317
544,Tiruchirappalli,70,26,88,51,31,12.98,421
545,Thanjavur,84,4,89,94,26,5.55,235
546,Pudukkottai,74,25,73,59,34,9.53,436
547,Karur,100,0,95,84,50,6.83,262
548,Nagapattinam,73,16,84,57,37,12.73,306
549,Virudhunagar,80,19,73,57,40,12.61,346
550,Chennai,99,1,90,100,79,2.72,276
551,Viluppuram,86,12,67,71,57,10.97,243
552,Nagapattinam,80,14,73,97,49,12.71,399
553,Madurai,71,20,94,48,57,10.7,411
554,Viluppuram,100,0,65,73,34,5.51,120
555,Ariyalur,86,4,92,42,62,9.27,301
